date,cases,new_hosp
01-Mar-2020,NaN,NaN
02-Mar-2020,NaN,NaN
03-Mar-2020,NaN,NaN
04-Mar-2020,NaN,NaN
05-Mar-2020,NaN,NaN
06-Mar-2020,NaN,NaN
07-Mar-2020,NaN,NaN
08-Mar-2020,NaN,NaN
09-Mar-2020,NaN,NaN
10-Mar-2020,NaN,NaN
11-Mar-2020,2.13393352150162,NaN
12-Mar-2020,2.10562267767495,NaN
13-Mar-2020,2.17778858019485,NaN
14-Mar-2020,2.18447214477788,NaN
15-Mar-2020,2.10681188589631,NaN
16-Mar-2020,2.06456285316739,NaN
17-Mar-2020,1.95954817067659,NaN
18-Mar-2020,1.84525038398795,NaN
19-Mar-2020,1.74367591308964,NaN
20-Mar-2020,1.60062469937723,NaN
21-Mar-2020,1.51812310641303,NaN
22-Mar-2020,1.45880371748536,1.69933895542404
23-Mar-2020,1.38320732549544,1.44326667427655
24-Mar-2020,1.34059939123835,1.28213926753302
25-Mar-2020,1.25356399793457,1.13485085418888
26-Mar-2020,1.20271797598598,1.10688426758054
27-Mar-2020,1.12650159757261,1.08008161871203
28-Mar-2020,0.991958806355131,1.03389304342998
29-Mar-2020,0.888684489952011,0.881102744626025
30-Mar-2020,0.800301002387433,0.817541211508674
31-Mar-2020,0.765385869380247,0.777564910957257
01-Apr-2020,0.776330435665826,0.754813393828501
02-Apr-2020,0.822032376863086,0.796490089985127
03-Apr-2020,0.856849425179046,0.844588229091329
04-Apr-2020,0.890827779364282,0.873255769094271
05-Apr-2020,0.900571133181859,0.917746879907509
06-Apr-2020,0.905010978961596,0.912678547443277
07-Apr-2020,0.903842302544306,0.915194347720384
08-Apr-2020,0.902822532064251,0.929614455741554
09-Apr-2020,0.826093489129837,0.841137835633454
10-Apr-2020,0.807189719284262,0.783030773459734
11-Apr-2020,0.799884974583158,0.7193209954477
12-Apr-2020,0.800745273520857,0.690941143813608
13-Apr-2020,0.828631906832061,0.691252733345907
14-Apr-2020,0.841450323970393,0.680134134113687
15-Apr-2020,0.810520020443253,0.619557990590984
16-Apr-2020,0.743575962312256,0.661073284433023
17-Apr-2020,0.69640861370927,0.632026870254596
18-Apr-2020,0.685972121382814,0.695606269248812
19-Apr-2020,0.644552649595102,0.701138046400886
20-Apr-2020,0.633277850836065,0.70114668762663
21-Apr-2020,0.614725259889293,0.725625244474248
22-Apr-2020,0.588197584211323,0.779526424006783
23-Apr-2020,0.571931261994385,0.733752243922993
24-Apr-2020,0.562509453416343,0.763858113179094
25-Apr-2020,0.498142956521297,0.694286781393191
26-Apr-2020,0.547820727313218,0.704661557023408
27-Apr-2020,0.54171850744414,0.715352009625843
28-Apr-2020,0.503830927217077,0.72030578261586
29-Apr-2020,0.493802696939744,0.731873955074812
30-Apr-2020,0.540252202023362,0.782222828846494
01-May-2020,0.583951514932597,0.750200485675364
02-May-2020,0.608395815514175,0.79407232211867
03-May-2020,0.633101287025212,0.78906476741062
04-May-2020,0.599407218841308,0.751410637396653
05-May-2020,0.580902867981437,0.647225435278469
06-May-2020,0.558495664483591,0.616667415980429
07-May-2020,0.565380649871551,0.657858455429283
08-May-2020,0.617335553083727,0.620709065504383
09-May-2020,0.683309833509681,0.654337414539595
10-May-2020,0.643949108748106,0.623850831329225
11-May-2020,0.685796054372067,0.731398289376228
12-May-2020,0.772104751000991,0.831202110390094
13-May-2020,0.785897631590634,0.837220517727932
14-May-2020,0.810608753385687,0.654593997393882
15-May-2020,0.83636467077499,0.836996702372271
16-May-2020,1.09885981040422,0.781594461743229
17-May-2020,1.2579155271759,0.878757891163101
18-May-2020,1.53473513546162,0.903895240898537
19-May-2020,1.83239482272506,0.930186616851028
20-May-2020,1.88163973413544,0.997074857188636
21-May-2020,2.01709414174071,1.13486577522278
22-May-2020,2.07170575357148,1.21184779644512
23-May-2020,1.92891500267493,1.4116416081128
24-May-2020,1.85203122678352,1.38089447757079
25-May-2020,1.69355081911013,1.37004378686827
26-May-2020,1.45378332742799,1.36449240645988
27-May-2020,1.47850953378758,1.37514823757091
28-May-2020,1.43175175044758,1.43061871377481
29-May-2020,1.41867810120011,1.35424107612904
30-May-2020,1.36457654465677,1.20258716501222
31-May-2020,1.44021831208932,1.36867077265187
