Date,Abruzzo,Basilicata,Calabria,Campania,Emilia_Romagna,Friuli_Venezia_Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Bolzano,Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle_dAosta,Veneto
12-Apr-2020,212,18,66,242,2564,195,279,749,10621,700,15,205,293,1729,260,73,163,495,52,112,856
13-Apr-2020,224,18,67,248,2615,202,284,760,10901,713,15,212,300,1826,267,75,171,518,52,115,882
14-Apr-2020,232,19,68,260,2705,206,300,793,11142,728,15,214,310,1927,278,80,175,538,53,118,906
15-Apr-2020,240,21,71,278,2788,212,311,807,11377,746,15,223,318,2015,288,83,181,556,54,121,940
16-Apr-2020,243,22,72,286,2843,217,316,828,11608,764,16,225,322,2094,299,85,187,585,55,122,981
17-Apr-2020,246,22,73,293,2903,220,332,866,11851,785,16,234,342,2171,307,86,190,602,57,123,1026
18-Apr-2020,253,23,73,300,2965,222,340,897,12050,795,16,239,348,2252,314,86,196,618,57,124,1059
19-Apr-2020,258,24,75,304,3023,225,341,928,12213,807,17,245,360,2331,316,86,200,637,58,125,1087
20-Apr-2020,263,24,75,309,3079,239,349,957,12376,822,18,249,366,2409,326,86,203,667,58,127,1112
21-Apr-2020,271,24,76,317,3147,241,363,990,12579,834,18,251,376,2485,351,93,206,686,60,126,1154
22-Apr-2020,276,24,76,327,3204,246,370,1022,12740,845,19,256,381,2559,362,96,208,705,61,127,1181
23-Apr-2020,280,24,76,332,3269,256,375,1047,12940,857,20,261,382,2630,372,98,213,723,61,127,1206
24-Apr-2020,286,24,80,336,3303,258,384,1076,13106,865,20,263,389,2699,383,102,218,742,62,129,1244
25-Apr-2020,293,25,80,341,3347,263,387,1093,13269,874,21,265,400,2767,391,103,224,760,63,130,1288
26-Apr-2020,295,25,80,345,3386,264,389,1114,13325,879,21,269,405,2823,399,109,228,778,64,131,1315
27-Apr-2020,299,25,83,352,3431,271,397,1128,13449,884,21,270,407,2878,405,109,231,795,65,133,1344
28-Apr-2020,310,25,85,358,3472,278,414,1141,13575,893,21,272,412,2936,407,109,232,811,65,135,1408
29-Apr-2020,315,25,86,359,3512,285,431,1152,13679,899,21,274,416,3003,410,116,232,827,66,137,1437
30-Apr-2020,320,25,86,359,3551,289,441,1167,13772,906,21,275,418,3066,415,116,235,842,67,137,1459
01-May-2020,324,25,86,359,3579,294,482,1184,13860,911,21,278,423,3097,421,117,237,854,68,137,1479
02-May-2020,327,25,88,362,3614,295,497,1195,14189,916,21,279,425,3126,422,119,240,863,68,137,1502
03-May-2020,330,25,88,364,3642,297,508,1209,14231,927,22,281,429,3152,424,119,242,872,68,138,1516
04-May-2020,332,25,88,366,3666,299,524,1221,14294,932,22,284,430,3186,429,119,244,881,70,139,1528
