date,amount,total,countDeadAvg7days
2020-07-07T00:00:00.000Z,5,357,3.0
2020-07-08T00:00:00.000Z,5,362,3.0
2020-07-09T00:00:00.000Z,5,367,4.0
2020-07-10T00:00:00.000Z,4,371,4.0
2020-07-11T00:00:00.000Z,5,376,4.0
2020-07-12T00:00:00.000Z,7,383,4.0
2020-07-13T00:00:00.000Z,4,387,5.0
2020-07-14T00:00:00.000Z,7,394,5.0
2020-07-15T00:00:00.000Z,6,400,5.0
2020-07-16T00:00:00.000Z,9,409,5.0
2020-07-17T00:00:00.000Z,12,421,6.0
2020-07-18T00:00:00.000Z,8,429,7.0
2020-07-19T00:00:00.000Z,10,439,7.0
2020-07-20T00:00:00.000Z,12,451,8.0
2020-07-21T00:00:00.000Z,9,460,9.0
2020-07-22T00:00:00.000Z,6,466,9.0
2020-07-23T00:00:00.000Z,16,482,9.0
2020-07-24T00:00:00.000Z,8,490,10.0
2020-07-25T00:00:00.000Z,7,497,9.0
2020-07-26T00:00:00.000Z,10,507,9.0
2020-07-27T00:00:00.000Z,7,514,9.0
2020-07-28T00:00:00.000Z,8,522,9.0
2020-07-29T00:00:00.000Z,15,537,8.0
2020-07-30T00:00:00.000Z,15,552,10.0
2020-07-31T00:00:00.000Z,14,566,10.0
2020-08-01T00:00:00.000Z,14,580,10.0
2020-08-02T00:00:00.000Z,12,592,11.0
2020-08-03T00:00:00.000Z,15,607,12.0
2020-08-04T00:00:00.000Z,11,618,13.0
2020-08-05T00:00:00.000Z,10,628,13.0
2020-08-06T00:00:00.000Z,9,637,13.0
2020-08-07T00:00:00.000Z,12,649,12.0
2020-08-08T00:00:00.000Z,13,662,11.0
2020-08-09T00:00:00.000Z,8,670,11.0
2020-08-10T00:00:00.000Z,15,685,11.0
2020-08-11T00:00:00.000Z,11,696,11.0
2020-08-12T00:00:00.000Z,16,712,11.0
2020-08-13T00:00:00.000Z,16,728,12.0
2020-08-14T00:00:00.000Z,12,740,13.0
2020-08-15T00:00:00.000Z,10,750,13.0
2020-08-16T00:00:00.000Z,20,770,12.0
2020-08-17T00:00:00.000Z,4,774,14.0
2020-08-18T00:00:00.000Z,14,788,12.0
