all,female,male
0.0296334571439826,0.0296092370724985,0.0298104423656715
0.032893624021892,0.0326277662993446,0.0332657436398744
0.0357482975070266,0.0364834957443237,0.0353999003092349
0.0370644132047185,0.0383817347710208,0.0362951814517105
0.0406790971631682,0.0431876809773407,0.0390536152420405
0.0447386653011194,0.0485203062199697,0.042199197634522
0.0468240598925326,0.0507586921242831,0.0441833342205489
0.049243117618572,0.0522070594741329,0.0473289166130305
0.0491875070961344,0.0530629129081351,0.0466030129839962
0.0490484807900401,0.0526679036309033,0.0466514065592652
0.0481309071698183,0.0516803804378239,0.0457803222044241
0.0461011231008427,0.0495736642925878,0.0437961856183973
0.0421249707465481,0.0441752041704202,0.0408441775269915
0.040011770893916,0.041541808988875,0.0391020088173094
0.0370922184659374,0.0380525603733277,0.0365855429033242
0.0338390029033327,0.0337732932033168,0.0340690769893389
0.0300574873775699,0.0296256957923831,0.0305363459947057
0.0271935454720291,0.0259389425382199,0.0282618479570652
0.0240515509542997,0.022186354404518,0.0255518077420042
0.0226334826321387,0.0210013265728227,0.0239548197581289
0.020270035428537,0.0190921150662025,0.0212447795430679
0.0182402513595614,0.0172487384391208,0.0190670686559652
0.0165997409476496,0.0156028664506551,0.017421687096821
0.0146533726623306,0.0129694712691099,0.0159698798387526
0.013513356952358,0.0116527736783374,0.0149536147581047
0.012623588593355,0.0111260946420283,0.01379216895165
0.0115391834058201,0.0100727365694103,0.0126791167204642
0.0102879466509721,0.00869020409909905,0.0115176709140095
0.00881426780637343,0.00757101114694235,0.00977550220432735
0.00795230470858927,0.00691266235155606,0.00875923712367946
0.00756303105152546,0.00671515771294018,0.00822690779572104
0.006756678476179,0.00612264379709251,0.00725903629034209
0.0063117942966775,0.00612264379709251,0.00648473908603894
0.00561666276620641,0.00539846012216759,0.00580722903227367
0.0052273891091426,0.00480594620631993,0.00556526115592894
0.00506055754182954,0.00467427644724267,0.00537168685485315
0.00467128388476573,0.00434510204954953,0.00493614467743262
0.00425420496648307,0.00414759741093364,0.00435542177420526
0.00394834709307579,0.00388425789277912,0.00401666674732263
0.00353126817479314,0.00322590909739283,0.00377469887097789
0.00342004712991776,0.00335757885647009,0.00348433741936421
0.00311418925651048,0.00309423933831557,0.00314558239248157
0.00266930507700899,0.0026992300610838,0.0026616466397921
0.00247466824847708,0.00263339518154517,0.00237128518817842
0.00225222615872633,0.00250172542246791,0.00208092373656473
0.00211319985263211,0.00237005566339065,0.00193574301075789
0.00183514724044368,0.00184337662708162,0.00183895586022
0.00136245779972334,0.00131669759077258,0.00140341368279947
0.00119562623241028,0.00131669759077258,0.00111305223118579
0.00125123675484796,0.0011191929521567,0.00135502010753052
0.00125123675484796,0.0011191929521567,0.00135502010753052
0.00114001570997259,0.000855853434002179,0.00135502010753052
0.00114001570997259,0.000855853434002179,0.00135502010753052
0.00111221044875374,0.000855853434002179,0.00130662653226158
0.00114001570997259,0.00079001855446355,0.00140341368279947
0.00111221044875374,0.000724183674924921,0.00140341368279947
0.00102879466509721,0.000855853434002179,0.00116144580645473
0.000973184142659526,0.000724183674924921,0.00116144580645473
0.000945378881440683,0.00079001855446355,0.00106465865591684
0.000750742052908778,0.000658348795386292,0.000822690779572104
0.000722936791689934,0.000658348795386292,0.000774297204303157
0.000778547314127621,0.000724183674924921,0.000822690779572104
0.000806352575346465,0.000724183674924921,0.000871084354841051
0.000778547314127621,0.000526679036309033,0.000967871505378946
0.00069513153047109,0.000395009277231775,0.000919477930109999
0.000667326269252247,0.000329174397693146,0.000919477930109999
0.000639521008033403,0.000395009277231775,0.000822690779572104
0.00061171574681456,0.000329174397693146,0.000822690779572104
0.000472689440720341,0,0.000677510053765262
0.000472689440720341,0,0.000677510053765262
0.000333663134626123,0,0.000483935752689473
0.000333663134626123,0,0.000435542177420526
0.000278052612188436,0,0.000290361451613684
0.000361468395844967,0,0.000290361451613684
0.00030585787340728,0,0.000193574301075789
0.000361468395844967,0,0.000241967876344736
0.000389273657063811,0,0.000290361451613684
0.000417078918282654,0,0.000338755026882631
0.000417078918282654,0,0.000387148602151578
0.000417078918282654,0,0.000435542177420526
0.000361468395844967,0,0.00053232932795842
0.000389273657063811,0,0.00053232932795842
0.00030585787340728,0,0.000435542177420526
0.000222442089750749,0,0.000290361451613684
0.000194636828531905,0,0.000241967876344736
0.000250247350969593,0,0.000290361451613684
0.000278052612188436,0,0.000338755026882631
0.000278052612188436,0,0.000241967876344736
0.000278052612188436,0,0.000290361451613684
0.000278052612188436,0,0.000290361451613684
0.000278052612188436,0,0.000338755026882631
0.000278052612188436,0,0.000290361451613684
0.000194636828531905,0,0.000193574301075789
0.000139026306094218,0,0
