first_week_day,last_week_day,age_group,gender,weekly_test_num,weekly_newly_tested,weekly_cases,weekly_deceased
17/5/2020,23/5/2020,55-59,NULL,<15,<15,0,0
17/5/2020,23/5/2020,55-59,זכר,766,422,<15,0
17/5/2020,23/5/2020,55-59,נקבה,1019,565,<15,0
17/5/2020,23/5/2020,60-64,NULL,<15,<15,0,0
17/5/2020,23/5/2020,60-64,זכר,667,347,<15,0
17/5/2020,23/5/2020,60-64,נקבה,895,532,<15,0
17/5/2020,23/5/2020,65-69,NULL,<15,<15,0,0
17/5/2020,23/5/2020,65-69,זכר,687,325,<15,0
17/5/2020,23/5/2020,65-69,נקבה,753,445,<15,0
17/5/2020,23/5/2020,70-74,NULL,<15,<15,0,0
17/5/2020,23/5/2020,70-74,זכר,734,356,<15,0
17/5/2020,23/5/2020,70-74,נקבה,745,439,<15,0
17/5/2020,23/5/2020,75-79,NULL,0,0,0,0
17/5/2020,23/5/2020,75-79,זכר,443,216,<15,0
17/5/2020,23/5/2020,75-79,נקבה,613,293,0,<15
17/5/2020,23/5/2020,NULL,NULL,225,205,<15,0
17/5/2020,23/5/2020,NULL,זכר,1160,810,<15,0
17/5/2020,23/5/2020,NULL,נקבה,1414,1002,<15,<15
