first_week_day,last_week_day,age_group,gender,weekly_test_num,weekly_newly_tested,weekly_cases,weekly_deceased
22/3/2020,28/3/2020,NULL,NULL,262,256,<15,0
22/3/2020,28/3/2020,NULL,זכר,741,657,34,0
22/3/2020,28/3/2020,NULL,נקבה,651,594,15,0
29/3/2020,4/4/2020,>=80,NULL,<15,<15,0,0
29/3/2020,4/4/2020,>=80,זכר,760,632,73,<15
29/3/2020,4/4/2020,>=80,נקבה,1029,853,91,<15
29/3/2020,4/4/2020,0-19,NULL,129,129,0,0
29/3/2020,4/4/2020,0-19,זכר,3889,3493,411,0
29/3/2020,4/4/2020,0-19,נקבה,3489,3133,336,0
29/3/2020,4/4/2020,20-24,NULL,146,142,0,0
29/3/2020,4/4/2020,20-24,זכר,4842,4261,337,0
29/3/2020,4/4/2020,20-24,נקבה,4013,3639,240,0
29/3/2020,4/4/2020,25-29,NULL,58,56,0,0
29/3/2020,4/4/2020,25-29,זכר,3181,2781,225,0
29/3/2020,4/4/2020,25-29,נקבה,2953,2527,160,0
29/3/2020,4/4/2020,30-34,NULL,55,53,0,0
29/3/2020,4/4/2020,30-34,זכר,3043,2547,171,0
29/3/2020,4/4/2020,30-34,נקבה,2525,2172,100,0
29/3/2020,4/4/2020,35-39,NULL,44,44,0,0
29/3/2020,4/4/2020,35-39,זכר,2517,2139,156,0
29/3/2020,4/4/2020,35-39,נקבה,2116,1828,108,0
29/3/2020,4/4/2020,40-44,NULL,35,35,0,0
29/3/2020,4/4/2020,40-44,זכר,2064,1756,180,0
29/3/2020,4/4/2020,40-44,נקבה,2092,1818,115,0
29/3/2020,4/4/2020,45-49,NULL,34,33,0,0
29/3/2020,4/4/2020,45-49,זכר,1854,1541,154,0
29/3/2020,4/4/2020,45-49,נקבה,1977,1702,107,<15
29/3/2020,4/4/2020,50-54,NULL,29,29,0,0
29/3/2020,4/4/2020,50-54,זכר,1601,1335,143,0
29/3/2020,4/4/2020,50-54,נקבה,1839,1575,97,<15
29/3/2020,4/4/2020,55-59,NULL,33,32,0,0
29/3/2020,4/4/2020,55-59,זכר,1476,1263,161,<15
29/3/2020,4/4/2020,55-59,נקבה,1691,1457,132,0
29/3/2020,4/4/2020,60-64,NULL,32,32,0,0
29/3/2020,4/4/2020,60-64,זכר,1409,1182,141,<15
29/3/2020,4/4/2020,60-64,נקבה,1278,1112,103,<15
29/3/2020,4/4/2020,65-69,NULL,20,19,0,0
29/3/2020,4/4/2020,65-69,זכר,1116,914,124,<15
29/3/2020,4/4/2020,65-69,נקבה,810,709,72,<15
29/3/2020,4/4/2020,70-74,NULL,<15,<15,0,0
29/3/2020,4/4/2020,70-74,זכר,702,556,76,<15
29/3/2020,4/4/2020,70-74,נקבה,608,517,56,<15
29/3/2020,4/4/2020,75-79,NULL,<15,<15,0,0
29/3/2020,4/4/2020,75-79,זכר,384,288,54,<15
29/3/2020,4/4/2020,75-79,נקבה,333,279,34,<15
29/3/2020,4/4/2020,NULL,NULL,218,213,<15,0
29/3/2020,4/4/2020,NULL,זכר,1041,883,75,<15
29/3/2020,4/4/2020,NULL,נקבה,1004,849,49,<15
5/4/2020,11/4/2020,>=80,NULL,<15,<15,0,0
5/4/2020,11/4/2020,>=80,זכר,950,687,45,<15
5/4/2020,11/4/2020,>=80,נקבה,1738,1305,90,24
5/4/2020,11/4/2020,0-19,NULL,148,148,0,0
5/4/2020,11/4/2020,0-19,זכר,3751,3018,376,0
5/4/2020,11/4/2020,0-19,נקבה,2896,2287,281,0
5/4/2020,11/4/2020,20-24,NULL,165,164,<15,0
5/4/2020,11/4/2020,20-24,זכר,3510,2718,214,0
5/4/2020,11/4/2020,20-24,נקבה,2829,2196,163,0
5/4/2020,11/4/2020,25-29,NULL,86,84,0,0
5/4/2020,11/4/2020,25-29,זכר,2761,2164,148,0
5/4/2020,11/4/2020,25-29,נקבה,2211,1699,104,0
5/4/2020,11/4/2020,30-34,NULL,69,69,0,0
5/4/2020,11/4/2020,30-34,זכר,2376,1852,103,0
5/4/2020,11/4/2020,30-34,נקבה,1777,1410,65,0
5/4/2020,11/4/2020,35-39,NULL,63,62,0,0
5/4/2020,11/4/2020,35-39,זכר,1945,1487,77,<15
5/4/2020,11/4/2020,35-39,נקבה,1549,1191,63,0
5/4/2020,11/4/2020,40-44,NULL,63,63,0,0
5/4/2020,11/4/2020,40-44,זכר,1650,1301,80,0
5/4/2020,11/4/2020,40-44,נקבה,1469,1174,74,0
5/4/2020,11/4/2020,45-49,NULL,56,56,0,0
5/4/2020,11/4/2020,45-49,זכר,1649,1259,93,0
5/4/2020,11/4/2020,45-49,נקבה,1566,1184,83,0
