date,hosp,crit,vent,ecmo
24/01/2021,הסקוטי,6,,
24/01/2021,בעמק,14,,
24/01/2021,פוריה,19,,
24/01/2021,זיו,6,,
24/01/2021,נהריה,4,,
05/02/2021,אסותא,5,,
05/02/2021,קפלן,4,,
05/02/2021,סורוקה,10,,
05/02/2021,ברזילי,8,,
05/02/2021,אוגוסטה,1,,
05/02/2021,אל מקאסד,3,,
05/02/2021,סנט ג'וזף,2,,
05/02/2021,שערי צדק,28,,
05/02/2021,עין כרם,39,,
05/02/2021,וולפסון,6,,
05/02/2021,שיבא,12,,
05/02/2021,סוראסקי,33,,
05/02/2021,מעייני הישועה,5,,
05/02/2021,אסף הרופא,22,,
05/02/2021,שניידר,0,,
05/02/2021,השרון,2,,
05/02/2021,בילינסון,13,,
05/02/2021,מאיר,10,,
05/02/2021,לניאדו,8,,
05/02/2021,הלל יפה,3,,
05/02/2021,בני ציון,9,,
05/02/2021,הכרמל,10,,
05/02/2021,"רמב""ם",25,,
05/02/2021,סנט וינסנט,0,,
05/02/2021,המשפחה הקדושה,2,,
05/02/2021,הסקוטי,1,,
05/02/2021,בעמק,7,,
05/02/2021,פוריה,14,,
05/02/2021,זיו,13,,
05/02/2021,נהריה,8,,
01/02/2021,אסותא,3,,
01/02/2021,קפלן,6,,
01/02/2021,סורוקה,8,,
01/02/2021,ברזילי,8,,
01/02/2021,אוגוסטה,1,,
01/02/2021,אל מקאסד,1,,
01/02/2021,סנט ג'וזף,1,,
01/02/2021,שערי צדק,34,,
01/02/2021,עין כרם,42,,
01/02/2021,וולפסון,9,,
01/02/2021,שיבא,14,,
01/02/2021,סוראסקי,36,,
01/02/2021,מעייני הישועה,7,,
01/02/2021,אסף הרופא,15,,
01/02/2021,שניידר,0,,
01/02/2021,השרון,4,,
01/02/2021,בילינסון,22,,
01/02/2021,מאיר,13,,
01/02/2021,לניאדו,12,,
01/02/2021,הלל יפה,1,,
01/02/2021,בני ציון,6,,
01/02/2021,הכרמל,11,,
01/02/2021,"רמב""ם",20,,
01/02/2021,סנט וינסנט,0,,
01/02/2021,המשפחה הקדושה,5,,
01/02/2021,הסקוטי,2,,
01/02/2021,בעמק,11,,
01/02/2021,פוריה,16,,
01/02/2021,זיו,10,,
01/02/2021,נהריה,4,,
28/01/2021,אסותא,4,,
28/01/2021,קפלן,6,,
28/01/2021,סורוקה,13,,
28/01/2021,ברזילי,7,,
28/01/2021,אוגוסטה,1,,
28/01/2021,אל מקאסד,0,,
28/01/2021,סנט ג'וזף,1,,
28/01/2021,שערי צדק,31,,
28/01/2021,עין כרם,41,,
28/01/2021,וולפסון,9,,
28/01/2021,שיבא,10,,
28/01/2021,סוראסקי,40,,
28/01/2021,מעייני הישועה,8,,
28/01/2021,אסף הרופא,24,,
28/01/2021,שניידר,0,,
28/01/2021,השרון,7,,
28/01/2021,בילינסון,13,,
28/01/2021,מאיר,9,,
28/01/2021,לניאדו,10,,
28/01/2021,הלל יפה,3,,
28/01/2021,בני ציון,7,,
28/01/2021,הכרמל,10,,
28/01/2021,"רמב""ם",32,,
28/01/2021,סנט וינסנט,0,,
28/01/2021,המשפחה הקדושה,6,,
28/01/2021,הסקוטי,3,,
28/01/2021,בעמק,13,,
28/01/2021,פוריה,17,,
28/01/2021,זיו,9,,
28/01/2021,נהריה,5,,
16/02/2021,אסותא,1,1,0
16/02/2021,קפלן,2,6,0
16/02/2021,סורוקה,12,9,7
16/02/2021,ברזילי,2,7,0
16/02/2021,אוגוסטה,0,0,0
16/02/2021,אל מקאסד,4,4,0
16/02/2021,סנט ג'וזף,3,3,0
16/02/2021,שערי צדק,22,9,0
16/02/2021,עין כרם,35,24,2
16/02/2021,וולפסון,12,12,3
16/02/2021,שיבא,15,15,5
16/02/2021,סוראסקי,28,18,3
16/02/2021,מעייני הישועה,2,2,0
16/02/2021,אסף הרופא,25,15,3
16/02/2021,שניידר,0,0,0
16/02/2021,השרון,5,5,0
16/02/2021,בילינסון,9,9,2
16/02/2021,מאיר,12,10,0
16/02/2021,לניאדו,8,8,0
16/02/2021,הלל יפה,4,4,0
16/02/2021,בני ציון,5,5,0
16/02/2021,הכרמל,4,3,1
16/02/2021,"רמב""ם",24,18,3
16/02/2021,סנט וינסנט,0,0,0
16/02/2021,המשפחה הקדושה,1,1,0
16/02/2021,הסקוטי,1,1,0
16/02/2021,בעמק,5,5,0
16/02/2021,פוריה,11,5,1
16/02/2021,זיו,8,7,0
16/02/2021,נהריה,7,7,0
