date,new_critical,discharged,deceased,critical_total
09/25/2020,115,42,28,710
09/26/2020,91,46,30,725
09/27/2020,112,73,27,737
09/28/2020,79,28,26,762
09/29/2020,127,46,39,804
09/30/2020,124,64,36,828
10/01/2020,122,82,48,820
10/02/2020,99,35,28,856
10/03/2020,84,54,35,851
10/04/2020,129,32,39,909
10/05/2020,103,106,27,879
10/06/2020,90,63,40,866
10/07/2020,93,72,26,861
10/08/2020,95,47,50,859
10/09/2020,78,46,40,851
10/10/2020,61,50,33,829
10/11/2020,103,56,47,829
10/12/2020,72,39,34,828
10/13/2020,71,72,31,796
10/14/2020,70,74,38,754
10/15/2020,62,44,35,737
