date,y0_19,y20_24,y25_29,y30_34,y35_39,y40_44,y45_49,y50_54,y55_59,y60_64,y65_69,y70_74,y75_79,y80_
2021-10-06,8789,1005,1134,1104,1017,832,588,465,323,246,191,149,74,130
2021-10-13,6738,519,579,638,617,534,387,248,208,157,140,74,54,85
2021-10-20,4472,295,349,438,429,353,248,148,104,105,58,55,41,55
2021-10-27,2782,196,227,291,265,261,177,90,96,72,52,27,4,24
2021-11-03,2084,169,210,237,251,214,172,106,65,63,24,41,4,23
2021-11-10,1915,127,143,180,173,142,115,64,40,50,49,20,4,4
2021-11-17,1952,125,152,166,182,179,103,68,52,45,40,29,4,6
2021-11-24,2279,104,155,152,227,183,140,91,53,48,40,6,4,30
2021-12-01,2326,128,151,197,208,184,146,87,25,29,44,22,4,19
2021-12-08,2656,155,154,261,279,214,189,104,71,67,47,17,4,4
