date,doseIbelow80,doseIover80,doseIIbelow80,doseIIover80,deaths_below80,deaths_over80
14-Jan-2021,0.2508294977478,0.783393620760354,0.0212310746550798,0.0667030343858005,22,27
15-Jan-2021,0.253972069668207,0.785290111885654,0.0245033041495508,0.0802384160271806,22,28
16-Jan-2021,0.259204416605887,0.78817146037139,0.0284392165857743,0.0982257922793041,23,23
17-Jan-2021,0.266437840351132,0.793337385038955,0.0366272759988859,0.134617919278308,24,27
18-Jan-2021,0.276344780675315,0.799455216448948,0.051002600495919,0.193892419893386,25,28
19-Jan-2021,0.282612693335262,0.802779567687892,0.0600564561280011,0.236574453751977,22,27
20-Jan-2021,0.29573550871813,0.811236892976393,0.0772321299942883,0.307381670669557,29,29
21-Jan-2021,0.310450937178504,0.820323941186808,0.101746027082897,0.401345849686603,30,30
22-Jan-2021,0.315901781139145,0.82242179719993,0.110407943969849,0.429408792689356,28,30
23-Jan-2021,0.321082717012599,0.82449768613438,0.116522329633055,0.452371712260559,29,32
24-Jan-2021,0.330997425492091,0.829048532599145,0.132981497101489,0.509647208716537,31,31
25-Jan-2021,0.343720816452896,0.837963505359967,0.15052905374829,0.566853142756722,29,31
26-Jan-2021,0.357102946983894,0.844311991096011,0.167359397801301,0.618684464881964,30,32
27-Jan-2021,0.363682150812945,0.847372737390897,0.179764294394443,0.654190586374553,27,29
28-Jan-2021,0.380314901242735,0.852710737508055,0.201221492988604,0.707863481928417,26,28
29-Jan-2021,0.385484961698757,0.853827397340519,0.208918181268633,0.720714222951204,23,27
30-Jan-2021,0.390788210708529,0.854717064026712,0.215544982703849,0.730636020151133,25,29
31-Jan-2021,0.400576651354456,0.858089010602777,0.222854534371121,0.747045427918693,20,27
01-Feb-2021,0.413220948370297,0.862324995606584,0.228264136489031,0.755627233319665,19,26
02-Feb-2021,0.422753746086968,0.86651338527327,0.232156406016337,0.762191728662644,23,25
03-Feb-2021,0.43201239854083,0.870859205670435,0.239485166213101,0.770257307714838,26,25
04-Feb-2021,0.442045465459392,0.873938257864214,0.247550206293957,0.776869398394939,22,24
05-Feb-2021,0.445618675662285,0.874919454044871,0.25073260766522,0.77899288266651,21,27
06-Feb-2021,0.449721674057243,0.8758201042704,0.254086332170841,0.780658719465761,21,24
07-Feb-2021,0.457300427615764,0.878646535059458,0.26344088603297,0.785784371155761,19,23
08-Feb-2021,0.46322159807056,0.880901821803058,0.27101088276187,0.790218059867612,21,21
09-Feb-2021,0.471003312341424,0.883933278659715,0.280097505885437,0.798367846054713,20,21
10-Feb-2021,0.485945570936817,0.88761276433718,0.297371482226178,0.804170816003749,21,21
11-Feb-2021,0.496843727878412,0.890490451643137,0.306930126714149,0.8086557612325,19,19
12-Feb-2021,0.499498883362984,0.89102132271103,0.309851941784597,0.809787065784078,18,16
13-Feb-2021,0.506271161161257,0.892511422880909,0.316278324812844,0.812163171460371,18,15
14-Feb-2021,0.516887122206359,0.895751566984945,0.32623356893913,0.816842159217386,19,14
15-Feb-2021,0.528577913467834,0.899544549235546,0.336995147586477,0.821956827368051,20,14
16-Feb-2021,0.540125346954064,0.90309589362076,0.347605600303269,0.826375871360787,17,14
17-Feb-2021,0.549294736241467,0.904856921094253,0.357538811116315,0.829612354285045,19,14
18-Feb-2021,0.561110382944634,0.906720461601547,0.370135369286804,0.832962333782438,14,14
19-Feb-2021,0.565263521251131,0.907361168062797,0.374777760138573,0.833954513502431,15,14
21-Feb-2021,0.582464618171156,0.911776550875754,0.390627762991604,0.838834866147267,22,14
22-Feb-2021,0.592637653124465,0.915752592115283,0.398383771730355,0.841807744127468,18,12
23-Feb-2021,0.592971909893609,0.906704592216118,0.403303241426204,0.834782012316178,20,12
24-Feb-2021,0.601596664610778,0.90994607160132,0.412050074625842,0.838601038139723,18,13
